30 30
469,470,2,2,2,281,283,2,469,470,469,470,469,470,469,470,469,470,2,2,2,2,465,466,466,466,466,466,466,467,
477,478,2,2,2,289,291,2,477,478,485,486,485,486,485,486,485,486,2,2,2,2,473,474,474,474,474,474,474,475,
469,470,2,2,2,289,291,2,469,470,2,2,2,2,2,2,469,470,2,2,2,2,473,474,474,474,474,482,482,483,
477,478,2,2,2,289,291,2,485,486,2,2,2,2,2,2,485,486,2,2,2,2,481,482,482,482,3221225937,2,2,2,
469,470,2,2,2,289,291,2,2,2,2,2,2,2,2,2,469,470,2,2,2,2,2,2,2,2,2,2,2,2,
477,478,2,2,2,289,291,2,2,2,2,2,2,2,2,2,485,486,2,2,2,2,2,463,464,463,464,463,464,463,
469,470,2,2,2,289,291,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,469,470,469,470,469,470,469,
477,478,2,2,2,289,291,573,574,574,574,574,574,574,575,2,2,2,2,2,2,2,2,485,486,485,486,485,486,485,
469,470,2,2,2,289,291,581,582,582,582,582,582,582,614,2,2,2,2,2,2,2,2,2,2,140,495,496,495,496,
485,486,2,2,2,289,291,589,2,2,2,2,2,2,2,2,2,2,573,574,574,574,575,2,2,2,469,470,469,470,
2,2,2,2,2,289,291,589,2,2,2,2,2,2,2,2,2,2,581,621,622,623,583,2,2,2,485,486,485,486,
282,282,282,282,282,290,291,589,2,2,2,2,2,2,2,2,2,2,589,629,630,631,597,2,2,2,2,2,2,2,
298,298,298,298,298,298,299,589,2,2,2,2,2,2,2,2,2,2,597,637,640,639,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,589,2,2,2,2,2,2,2,2,2,2,2,645,648,647,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,597,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,281,282,
132,106,106,106,106,106,106,107,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,297,298,
113,114,117,122,122,122,138,160,133,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
113,114,115,2,2,2,140,168,69,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
113,114,115,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
121,122,123,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
177,178,178,178,178,179,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,330,330,330,330,330,330,330,
193,210,210,210,210,195,178,179,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
210,210,210,210,210,210,210,187,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
198,210,210,210,210,210,210,195,178,178,178,178,197,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,
210,198,198,210,210,210,210,210,210,210,210,210,195,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,
210,210,210,198,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
